toi,toipfx,st_tmag,st_dist,st_disterr1,st_disterr2,st_pmdecerr2,st_pmdecerr1,tfopwg_disp
1113.01,1113,9.66865,23.8853,0.05215,-0.05215,-0.158,0.158,FP
1114.01,1114,8.1129,174.475,,,-1.4,1.4,APC
1115.01,1115,10.526,359.215,8.103,-8.103,-0.049,0.049,APC
1116.01,1116,9.5268,94.4178,0.24735,-0.24735,-0.046,0.046,PC
1117.01,1117,10.4055,167.598,0.913,-0.913,-0.041,0.041,PC
1118.01,1118,10.5084,,,,-1.063,1.063,FP
1119.01,1119,10.5024,421.518,7.0305,-7.0305,-0.041,0.041,APC
112.01,112,11.6035,302.448,2.004,-2.004,-0.043,0.043,KP
1120.01,1120,10.4063,386.323,9.084,-9.084,-0.059,0.059,FP
1121.01,1121,11.0605,338.644,7.02,-7.02,-0.069,0.069,FP
1122.01,1122,10.2934,249.826,,,-3.0,3.0,FP
1123.01,1123,10.2398,161.932,2.2055,-2.2055,-0.138,0.138,APC
1124.01,1124,7.2235,75.7145,0.60865,-0.60865,-0.113,0.113,APC
1125.01,1125,8.0465,237.593,4.3795,-4.3795,-0.074,0.074,PC
1126.01,1126,10.3579,97.8115,0.44215,-0.44215,-0.078,0.078,FP
1127.01,1127,7.3163,177.741,2.084,-2.084,-0.087,0.087,FP
1128.01,1128,9.7298,222.529,3.137,-3.137,-0.06,0.06,FP
1129.01,1129,8.7823,247.414,2.905,-2.905,-0.08,0.08,FP
113.01,113,12.1893,448.637,7.508,-7.508,-0.049,0.049,KP
1130.01,1130,10.1429,58.2609,0.16955,-0.16955,-0.071,0.071,CP
1130.02,1130,10.1429,58.2609,0.16955,-0.16955,-0.071,0.071,CP
1131.01,1131,9.2872,222.74,6.115,-6.115,-0.299,0.299,PC
1132.01,1132,9.2293,286.668,2.913,-2.913,-0.064,0.064,FP
1133.01,1133,9.11458,233.369,5.819,-5.819,-0.189,0.189,FP
1134.01,1134,9.03609,170.732,0.812,-0.812,-0.052,0.052,FP
1135.01,1135,9.02855,114.048,0.307,-0.307,-0.042,0.042,CP
1136.01,1136,8.9361,84.5362,0.158,-0.158,-0.034,0.034,CP
1136.02,1136,8.9361,84.5362,0.158,-0.158,-0.034,0.034,CP
1136.03,1136,8.9361,84.5362,0.158,-0.158,-0.034,0.034,CP
1136.04,1136,8.9361,84.5362,0.158,-0.158,-0.034,0.034,CP
1137.01,1137,9.00558,419.435,5.153,-5.153,-0.047,0.047,PC
1138.01,1138,8.90601,395.12,6.803,-6.803,-0.058,0.058,FP
1139.01,1139,8.86193,238.726,1.703,-1.703,-0.05,0.05,PC
114.01,114,10.6103,216.526,0.932,-0.932,-0.039,0.039,KP
1140.01,1140,8.88797,121.182,0.27,-0.27,-0.041,0.041,FP
1141.01,1141,8.8523,97.3391,0.2589,-0.2589,-0.067,0.067,FP
1142.01,1142,8.64028,299.294,3.7665,-3.7665,-0.101,0.101,FP
1143.01,1143,8.63287,191.984,1.9545,-1.9545,-0.084,0.084,FP
1144.01,1144,8.5077,37.7647,0.03365,-0.03365,-0.045,0.045,KP
1145.01,1145,8.5011,438.395,10.886,-10.886,-0.103,0.103,FP
1146.01,1146,8.40386,411.307,6.9,-6.9,-0.077,0.077,FP
1147.01,1147,8.36544,218.258,3.317,-3.317,-0.171,0.171,FP
1148.01,1148,7.9179,96.5173,0.31225,-0.31225,-0.064,0.064,KP
1149.01,1149,7.9172,632.553,22.148,-22.148,-0.082,0.082,APC
115.01,115,13.0417,453.808,3.894,-3.894,-0.024,0.024,KP
1150.01,1150,7.58204,204.455,1.57,-1.57,-0.07,0.07,KP
1151.01,1151,7.55216,136.426,0.8115,-0.8115,-0.068,0.068,KP
1152.01,1152,8.0348,105.334,0.5865,-0.5865,-0.085,0.085,FA
1153.01,1153,8.40534,147.134,0.6185,-0.6185,-0.051,0.051,APC
1154.01,1154,9.3188,93.8819,0.26675,-0.26675,-0.076,0.076,PC
1155.01,1155,9.711,,,,,,FP
1156.01,1156,9.7032,6079.49,2185.29,-2185.29,-0.268,0.268,FP
1157.01,1157,9.6043,432.113,7.392,-7.392,-0.046,0.046,FP
1158.01,1158,9.5967,,,,-0.792,0.792,FP
1159.01,1159,9.5937,292.83,2.091,-2.091,-0.047,0.047,FP
116.01,116,11.0443,149.942,0.5175,-0.5175,-0.038,0.038,KP
1160.01,1160,9.577,2320.13,719.26,-719.26,-0.215,0.215,FP
1161.01,1161,10.2306,519.096,29.1045,-29.1045,-0.237,0.237,KP
1162.01,1162,9.65306,348.481,6.6785,-6.6785,-0.102,0.102,PC
1163.01,1163,9.47751,148.342,6.8725,-6.8725,-0.401,0.401,PC
1164.01,1164,9.329701,827.868,23.69,-23.69,-0.069,0.069,FP
1165.01,1165,9.76703,126.261,0.3515,-0.3515,-0.041,0.041,KP
1166.01,1166,9.7604,153.743,0.593,-0.593,-0.042,0.042,FP
1167.01,1167,10.3874,209.618,,,-2.0,2.0,FP
1168.01,1168,10.381,274.162,2.1655,-2.1655,-0.048,0.048,FP
1169.01,1169,10.6405,259.0,1.6565,-1.6565,-0.039,0.039,PC
117.01,117,11.7806,603.955,10.2025,-10.2025,-0.041,0.041,KP
1170.01,1170,10.349,880.107,28.165,-28.165,-0.092,0.092,FP
1171.01,1171,10.3075,482.763,6.2675,-6.2675,-0.048,0.048,FP
1172.01,1172,10.3018,875.061,74.2245,-74.2245,-0.171,0.171,FP
1173.01,1173,10.2938,132.353,0.4595,-0.4595,-0.042,0.042,CP
1174.01,1174,10.2549,94.6375,0.2501,-0.2501,-0.042,0.042,CP
1175.01,1175,10.2026,216.517,1.216,-1.216,-0.051,0.051,FP
1176.01,1176,10.1772,295.561,1.773,-1.773,-0.036,0.036,PC
1177.01,1177,10.1617,602.899,13.5555,-13.5555,-0.062,0.062,FP
1178.01,1178,10.1358,36.7224,0.0276,-0.0276,-0.041,0.041,FP
1179.01,1179,10.1313,86.444,0.15065,-0.15065,-0.031,0.031,APC
118.01,118,9.179,94.1719,0.2512,-0.2512,-0.043,0.043,CP
1180.01,1180,10.112,72.0238,0.13235,-0.13235,-0.043,0.043,CP
1181.01,1181,10.079,302.819,3.502,-3.502,-0.066,0.066,CP
1182.01,1182,10.0049,,,,-1.467,1.467,FP
1183.01,1183,9.9478,112.868,,,-2.0,2.0,FP
1184.01,1184,9.9469,58.5946,0.0779,-0.0779,-0.045,0.045,CP
1185.01,1185,9.94025,246.798,1.7075,-1.7075,-0.045,0.045,FP
1186.01,1186,9.92402,294.85,2.4105,-2.4105,-0.056,0.056,FP
1187.01,1187,9.9002,221.071,4.997,-4.997,-0.166,0.166,PC
1188.01,1188,9.886581,347.452,4.149,-4.149,-0.06,0.06,FP
1189.01,1189,9.8744,,,,-2.0,2.0,PC
119.01,119,9.2789,66.6187,0.1003,-0.1003,-0.049,0.049,PC
119.02,119,9.2789,66.6187,0.1003,-0.1003,-0.049,0.049,PC
1190.01,1190,9.80529,280.948,1.884,-1.884,-0.044,0.044,APC
1191.01,1191,9.7831,355.809,2.417,-2.417,-0.035,0.035,FP
1192.01,1192,10.4999,283.025,,,-1.096,1.096,APC
1193.01,1193,10.4813,501.963,,,-1.389,1.389,FP
1194.01,1194,10.4782,149.667,0.652,-0.652,-0.044,0.044,CP
1195.01,1195,10.4717,500.014,7.3165,-7.3165,-0.05,0.05,FP
1196.01,1196,10.4318,424.442,10.406,-10.406,-0.06,0.06,PC
1197.01,1197,10.4247,405.634,6.408,-6.408,-0.056,0.056,PC
1198.01,1198,10.4219,470.878,6.3855,-6.3855,-0.047,0.047,KP
